filename,filepath,duration_seconds,sample_rate,channels,category,sample_width_bytes,total_frames,file_size_mb
5bqVGgtJHBE_out.wav,Screaming/5bqVGgtJHBE_out.wav,10.0,44100,2,Screaming,2,441000,1.6823558807373047
5IQGfpXGAbg_out.wav,Screaming/5IQGfpXGAbg_out.wav,10.0,44100,2,Screaming,2,441000,1.6823558807373047
7J7uU7kl_ig_out.wav,Screaming/7J7uU7kl_ig_out.wav,10.0,44100,2,Screaming,2,441000,1.6823558807373047
2UUUivJa6DY_out.wav,Screaming/2UUUivJa6DY_out.wav,6.501609977324263,44100,2,Screaming,2,286721,1.0938282012939453
BbTpoFZbLvw_out.wav,Screaming/BbTpoFZbLvw_out.wav,10.0,44100,2,Screaming,2,441000,1.6823558807373047
WFfkEBERZz4_out.wav,Screaming/WFfkEBERZz4_out.wav,10.0,44100,2,Screaming,2,441000,1.6823558807373047
wfdTpX5KrC8_out.wav,Screaming/wfdTpX5KrC8_out.wav,10.0,44100,1,Screaming,2,441000,0.8412151336669922
MwMky2YsdqM_out.wav,Screaming/MwMky2YsdqM_out.wav,10.0,44100,2,Screaming,2,441000,1.6823558807373047
N2ttrM3FlcQ_out.wav,Screaming/N2ttrM3FlcQ_out.wav,2.635487528344671,44100,1,Screaming,2,116225,0.2217559814453125
yjpd9D4Kc4Q_out.wav,Screaming/yjpd9D4Kc4Q_out.wav,10.0,44100,2,Screaming,2,441000,1.6823558807373047
do5gd0lFHdY_out.wav,Screaming/do5gd0lFHdY_out.wav,10.0,44100,2,Screaming,2,441000,1.6823558807373047
RJ9QIXwDJAQ_out.wav,Screaming/RJ9QIXwDJAQ_out.wav,9.264761904761905,44100,2,Screaming,2,408576,1.5586681365966797
xNtX3g_67oc_out.wav,Screaming/xNtX3g_67oc_out.wav,10.0,44100,2,Screaming,2,441000,1.6823558807373047
yAZnV-TxX8g_out.wav,Screaming/yAZnV-TxX8g_out.wav,10.0,44100,2,Screaming,2,441000,1.6823558807373047
gPrh6yPCWHY_out.wav,Screaming/gPrh6yPCWHY_out.wav,10.0,44100,2,Screaming,2,441000,1.6823558807373047
